measured log solubility in mols per litre,smiles,mol_id
-2.92,Clc1ccc(cc1)N(=O)=O,p-Chloronitrobenzene
-0.14,CCC(=O)OC,Methyl propionate
-2.55,Clc1ccccc1N(=O)=O,o-Chloronitrobenzene
-4.77,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,Neburon
-1.877,CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,Buthidazole
-1.8,O=N(=O)c1ccccc1,Nitrobenzene
-3.01,Ic1ccccc1,Iodobenzene
-3.78,CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O ,Metolazone
-0.985,COc1ccccc1OCC(O)COC(N)=O,Methocarbamol
-4.19,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC ,butachlor
-1.3,Oc1cccc(Cl)c1Cl,"2,3-Dichlorophenol"
-1.92,CCCC(=O)OC,Propyl butyrate
-3.0,CCC(=O)Nc1ccc(Cl)c(Cl)c1,Propanil
-2.404,Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3,Triamterene
-2.35,CCCCCC(=O)OCC,Ethyl hexanoate
-1.84,OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl ,chloralose
-5.47,CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,Amitraz
-2.478,COc1nc(NC(C)C)nc(NC(C)C)n1,Prometon
-4.44,CCCCCCC=C,1-Octene 
-1.21,Cc1ccc(N)cc1,p-Methylaniline 
-0.36,Nc1nccs1 ,aminothiazole
-1.803,c1ccccc1(OC(=O)NC),Metolcarb
-0.8,CCCC(O)CC,3-Hexanol
-4.73,c3ccc2c(O)c1ccccc1cc2c3 ,9-anthrol
-6.96,Cc1ccc2cc3ccccc3cc2c1,2-Methylanthracene
-3.2,Cc1cccc(C)c1C,"1,2,3-Trimethylbenzene "
-2.36,CNC(=O)Oc1ccc(N(C)C)c(C)c1,Aminocarb
-2.74,CCCCCCCC(C)O,2-Nonanol
-3.35,CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2,Methyldymron
-0.83,CCCC(=O)CC,3-Hexanone
-3.33,Oc1c(Br)cc(C#N)cc1Br ,bromoxynil
-6.39,Clc1ccc(cc1Cl)c2ccccc2 ,"3,4-PCB"
-4.873,CN(C(=O)COc1nc2ccccc2s1)c3ccccc3,Mefenacet
-2.54,Oc1cccc2ncccc12 ,5-hydroxyquinoline
-3.14,CC1=C(SCCO1)C(=O)Nc2ccccc2,Carboxin
-3.81,CCOc2ccc1nc(sc1c2)S(N)(=O)=O ,Ethoxyzolamide
-4.28,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,Pentachlorophenol
-0.89,ClCBr,Bromochloromethane
-2.23,CCC1(CC)C(=O)NC(=O)N(C)C1=O ,metharbital
-4.63,CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,deoxycorticosterone acetate
-0.95,NC(=O)NCc1ccccc1 ,benzylurea
-3.483,CN(C)C(=O)Nc1ccc(C)c(Cl)c1,Chlortoluron
-3.592,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,Linuron
-0.88,OC1CCCCCC1,Cycloheptanol
-2.154,CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl ,Thiamphenicol
-3.36,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O ,thiopental
-2.36,CC(=O)Nc1nnc(s1)S(N)(=O)=O ,acetazolamide
-0.74,Oc1ccc(cc1)N(=O)=O,p-Nitrophenol
-6.307,ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,Aldrin
0.49,C1CCOC1,Tetrahydrofurane 
-1.96,Nc1ccccc1N(=O)=O,o-Nitroaniline
-7.28,Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,"2,2',3,3'-PCB"
-3.81,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3 ,phenylbutazone
-3.0,Cc1c(cccc1N(=O)=O)N(=O)=O,"2,6-Dinitrotoluene"
-4.42,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,Progesterone
-4.4110000000000005,CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,Chlorazine
-5.4,ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O ,captafol
-4.5,c1(Br)c(Br)cc(Br)cc1,"1,2,4-tribromobenzene"
-3.952,OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O ,Oxazepam
-2.356,O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C,Secobarbital
-2.08,c1(O)c(C)ccc(C(C)C)c1,Carvacrol
-1.77,C1SC(=S)NC1(=O),rhodanine
-3.083,Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O ,Morin
-5.259,ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl,Kepone
-4.86,CCN(CC)C(=S)SSC(=S)N(CC)CC,Disulfiram
-3.1,C1CCCCC1,Cyclohexane
-7.278,ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,Dienochlor
-2.86,CN(C)C=Nc1ccc(Cl)cc1C,chlordimeform
-5.24,CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,Equilenin
-2.39,CCCCCCCCO,1-Octanol
-1.34,CCSCC,Diethyl sulfide
-1.06,ClCCCl,"1,2-Dichloroethane"
-2.51,CCC(C)(C)Cl,2-Chloro-2-methylbutane
-1.32,ClCCBr,1-Chloro-2-bromoethane
-2.37,Nc1ccc(cc1)N(=O)=O,p-Nitroaniline
-0.244,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,Lactose
-2.86,CCN2c1ncccc1N(CC)C(=O)c3cccnc23 ,RTI 2
-2.38,Clc1ccccc1,Chlorobenzene
-5.05,CCCCCCCC=C,1-Nonene 
-4.56,Brc1ccc(I)cc1,p-Bromoiodobenzene
-0.36,CCC(C)(O)CC,3-Methyl-3-pentanol
-4.64,CCCCCc1ccccc1,Pentylbenzene
-1.6,NC(=O)NC1NC(=O)NC1=O ,allantoin
-4.5710000000000015,OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,Glafenine
-7.2,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,DDD
-5.184,CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,testosterone acetate
-3.93,Clc1cccc2ccccc12,1-Chloronapthalene
-4.749,CCN2c1ccccc1N(C)C(=O)c3ccccc23 ,RTI 19
-0.89,CCCCC(C)O,2-Hexanol
-4.74,CCCC1CCCC1,Propylcyclopentane
-4.735,CCOC(=O)c1cncn1C(C)c2ccccc2,Etomidate
-1.25,Oc1ccc(Cl)c(Cl)c1,"3,4-Dichlorophenol"
-8.017000000000001,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,Cypermethrin
-1.16,c2ccc1ocnc1c2,Benzoxazole
-0.6,CCCCCO,1-Pentanol
-3.03,CCN(CC)c1ccccc1,"N,N-Diethylaniline"
-2.0,Fc1cccc(F)c1,"1,3-Difluorobenzene"
-0.29,ClCCC#N ,3-chloropropionitrile
-4.15,CC(C)(C)Cc1ccccc1,t-Pentylbenzene
-2.322,O=C1NC(=O)NC(=O)C1(CC)c1ccccc1,5-Ethyl-5-phenylbarbital
-3.54,Clc1ccccc1I,o-Chloroiodobenzene
-0.78,c2ccc1[nH]nnc1c2,Benzotriazole
-2.8,CNC(=O)Oc1cccc2CC(C)(C)Oc12,Carbofuran
-1.29,Cc1cccc(C)c1O,"2,6-Dimethylphenol"
-0.18,CC(C)C(C)O,3-Methyl-2-butanol
-2.55,c1ccccc1C(O)c2ccccc2,benzhydrol
-4.69,CCCCCCCCCC(=O)OC,Methyl decanoate
-4.31,COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O,Dicapthon
-2.43,CC(C)CBr,1-Bromo-2-methylpropane
-1.6,CCI,Iodoethane
-1.95,CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C,Pirimicarb
-3.81,CCCCCCBr,1-Bromohexane
-3.74,CCCC(C)C,2-Methylpentane
-7.3210000000000015,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,Tetrafluthrin
-2.73,CCc1cccc(C)c1N(C(C)COC)C(=O)CCl ,Metolachlor
-2.19,ON=Cc1ccc(o1)N(=O)=O ,nifuroxime
-8.003,CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,Fluvalinate
0.522,Nc1nc[nH]n1,Amitrole
-1.91,BrC(Br)Br,Tribromomethane
-0.22,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,Trichlorfon
-5.233,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc12,Phosalone
-0.4,OCc1ccccc1,Phenylmethanol
-2.84,O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2 ,Coumatetralyl
-1.09,Oc1ccc(Br)cc1,4-Bromophenol
-1.59,CC(C)Br,2-Bromopropane
-4.74,CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane"
-2.89,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,"1,3,5-Trinitrobenzene"
-3.796,CN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O,Nimetazepam
-1.94,CCC,Propane
-1.989,Nc1cc(nc(N)n1=O)N2CCCCC2 ,Minoxidil
-4.22,Nc2cccc3nc1ccccc1cc23 ,1-aminoacridine
-8.49,c1ccc2cc3c4cccc5cccc(c3cc2c1)c45,Benzo(k)fluoranthene
-5.666,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,Dicofol
-4.63,C1Cc2cccc3cccc1c23,Acenapthene
-6.34,CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,Dialifos
-4.07,Brc1ccc(Br)cc1,"1,4-Dibromobenzene"
-2.82,Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O,Methazole
-3.48,Oc1ccc(cc1)c2ccccc2,p-Phenylphenol
-2.56,CC1=C(CCCO1)C(=O)Nc2ccccc2 ,pyracarbolid
-0.85,CCOC=C,Ethyl vinyl ether
-1.24,CCC#C,1-Butyne
-1.11,COc1ncnc2nccnc12 ,4-methoxypteridine
-1.6,CCCCC(C)(O)CC,3-Methyl-3-heptanol
-3.27,Clc1ccc(Cl)cc1,"1,4-Dichlorobenzene"
-4.47,O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,3-Ethanoyloxymethylphenytoin
-1.981,CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,"Sparsomycin (3,8mg/ml)"
-2.42,Cc1c[nH]c2ccccc12 ,3-methylindole
-1.11,COc2ncc1nccnc1n2,2-methoxypteridine
-1.57,CNC(=O)Oc1ccccc1C2OCCO2,Dioxacarb
-2.15,C1N(C(=O)NCC(C)C)C(=O)NC1,isocarbamid
0.26,CC#N,Acetonitrile
-4.7,CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2,Fenoxycarb
-3.59,CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C ,acetyl sulfisoxazole
-2.18,ClCC(Cl)(Cl)Cl,"1,1,1,2-Tetrachloroethane"
0.0,CCCCO,1-Butanol
-4.11,CC1CCCCC1NC(=O)Nc2ccccc2,Siduron
-4.48,Clc1cc(Cl)cc(Cl)c1,"1,3,5-Trichlorobenzene"
-0.1,O=Cc1ccco1,Furfural
-0.51,CC(C)CCO,3-Methylbutan-1-ol
-1.63,O=Cc2ccc1OCOc1c2 ,piperonal
-2.33,CC(=C)C,2-Methylpropene
-1.19,O=Cc1ccccc1,Benzaldehyde
-2.4,CC(=C)C(=C)C,"2,3-Dimethyl-1,3-Butadiene"
-4.71,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C,Benfuracarb
-3.672,O2c1ccccc1N(C)C(=O)c3cccnc23 ,RTI 10
-5.0,C1c2ccccc2c3ccccc13,Fluorene 
-3.85,CC1CCCCC1,Methylcyclohexane 
-1.99,NC(=N)NS(=O)(=O)c1ccc(N)cc1 ,sulfaguanidine
-1.827,COC(=O)c1ccc(O)cc1,Methylparaben
0.11,CC1CCCO1,2-Methyltetrahydrofurane
-3.09,CC3C2CCC1(C)C=CC(=O)C(=C1C2OC3=O)C,Santonin
-0.85,OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O,Salicin
-2.29,CCCI,1-Iodopropane
-3.04,CCNc1nc(NC(C)C)nc(SC)n1,Ametryn
0.62,CCCO,1-Propanol
-3.817,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,Hydroxyprogesterone-17a
-0.29,CCCC(C)O,2-Pentanol
-2.85,OC(C(=O)c1ccccc1)c2ccccc2,benzoin
-1.19,Cc1ccc(O)c(C)c1,"2,4-Dimethylphenol"
-2.77,Clc1cccc(c1)N(=O)=O,m-Chloronitrobenzene 
-0.624,Cc2c(N)c(=O)n(c1ccccc1)n2C,ampyrone
-6.57,Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl ,"2,2',4,5'-PCB"
-4.92,ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl,"Hexachloro-1,3-butadiene"
-4.0,CCNc1nc(NC(C)(C)C)nc(SC)n1,Terbutryn
-0.71,CCC(C)CCO,3-Methyl-2-pentanol
-0.12,Cc2ncc1nccnc1n2,2-methylpteridine
-5.5070000000000014,CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C,Danazol
-2.96,CCCCI,1-Iodobutane
-4.4,Brc1ccc2ccccc2c1,2-Bromonapthalene
-4.081,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C ,"Digoxin (L1=41,8mg/mL, L2=68,2mg/mL, Z=40,1mg/mL)"
-2.51,FC(F)(F)c1ccccc1,Benzyltrifluoride
-6.144,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,Dihexyl phthalate
-4.38,c1ccc2c(c1)sc3ccccc23,Dibenzothiophene
-7.8,Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl ,"2,3',4,4'-PCB"
-8.01,Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl ,"2,2',3,3',4,4'-PCB"
-3.893,CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O ,Warfarin
-1.93,c1ccccc1C(O)C(O)c2ccccc2,hydrobenzoin
-1.66,COC(=O)c1ccccc1C(=O)OC,Dimethyl phthalate
-3.39,CCCCCCCC(=O)OCC,Ethyl octanoate
-2.42,CCSSCC,Diethyldisulfide
-0.77,CCOCCOCC,"1,2-Diethoxyethane "
-5.56,Clc1cc(Cl)c(Cl)cc1Cl,"1,2,4,5-Tetrachlorobenzene"
-2.7,Nc1ccc(cc1)c2ccc(N)cc2,p-benzidine
-3.73,CCCCCC=C,1-Heptene
-3.028,CCCCc1c(C)nc(NCC)[nH]c1=O,Ethirimol
-2.39,O=C1NC(=O)NC(=O)C1(CC)C(C)CCC,Pentobarbital
-1.52,Nc1ccccc1Cl,o-Chloroaniline
-2.78,COc1cccc(Cl)c1,3-Chloroanisole
-3.53,CCCCN(CC)C(=O)SCCC,Pebulate
-1.37,CCCCOC=O,Butyl acetate
-3.18,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO,Prednisolone
-1.54,BrC(Cl)Cl,Bromodichloromethane
-3.48,CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O) ,adrenosterone
-7.11,c1ccc(cc1)c2ccc(cc2)c3ccccc3,p-terphenyl
-0.96,Oc1ccc(C=O)cc1,p-Hydroxybenzaldehyde 
-0.79,CBr,Bromomethane
-3.8,Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c2ccccc2,Perfluidone
-5.839,CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O,Coumachlor
-4.29,CCc1ccc2ccccc2c1,2-Ethylnaphthalene
-1.4580000000000002,Nc1c(C)c[nH]c(=O)n1 ,5-methylcytosine
-7.92,Clc2c(Cl)c(Cl)c(c1ccccc1)c(Cl)c2Cl ,"2,3,4,5,6-PCB"
-4.21,c1c(NC(=O)c2ccccc2(I))cccc1,benodanil
-3.685,Cc3cc2nc1c(=O)[nH]c(=O)nc1n(CC(O)C(O)C(O)CO)c2cc3C,Riboflavin
-2.7,Fc1ccccc1Br,o-Fluorobromobenzene
-1.55,Oc1ccc(Cl)cc1Cl,"2,4-Dichlorophenol "
-6.291,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2,Permethrin
-4.16,CN2C(=C(O)c1ccccc1S2(=O)=O)C(=O)Nc3ccccn3 ,piroxicam
-4.907,O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,3-Propanoyloxymethylphenytoin
-2.64,C1CCCC1,Cyclopentane 
-2.21,Cc1ccccc1N,o-Toluidine
-2.92,c1(OC)ccc(CC=C)cc1,Estragole
-2.93,CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1 ,karbutilate
-2.73,CC(C)C=C,3-Methyl-1-Butene
1.02,Oc1ccccn1,2-Hydroxypyridine
-1.36,CC,Ethane
-3.05,Clc1ccccc1Cl,"1,2-Dichlorobenzene"
-3.18,Sc2nc1ccccc1s2 ,mercaptobenzothiazole
-11.6,Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,"2,2',3,3',4,4',5,5',6,6'-PCB"
-3.664,COc2c1occc1cc3ccc(=O)oc23 ,Methoxsalen
1.58,CC(=O)N,Acetamide
-3.7,Cc1cccc2ccccc12,1-Methylnaphthalene
-3.57,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12 ,Napropamide
-0.62,CC(O)C(C)(C)C,"3,3-Dimethyl-2-butanol"
-1.36,CCCC(=O)OCC,Methyl pentanoate
-3.03,CC2=CC(=O)c1ccccc1C2=O ,Menadione
-5.26,c1ccc2c(c1)ccc3ccccc32,Phenanthrene
0.38,Cc1ccnc(C)c1,"2,4-Dimethylpyridine"
-3.01,CCCCCCCCCO,1-Nonanol
-1.17,BrCBr,Dibromomethane
-3.59,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,Dexamethasone
-4.89,Cc1ccc2cc(C)ccc2c1,"2,6-Dimethylnaphthalene "
-3.68,CCSC(=O)N(CC(C)C)CC(C)C,Butylate
-2.22,O=N(=O)OCC(CON(=O)=O)ON(=O)=O ,nitroglycerin
-2.19,Nc1cccc(c1)N(=O)=O,m-Nitroaniline
-2.03,CCCCCl,1-Chlorobutane
-4.19,ClC(Cl)(Cl)C(NC=O)N1C=CN(C=C1)C(NC=O)C(Cl)(Cl)Cl ,triforine
-4.445,Cn2cc(c1ccccc1)c(=O)c(c2)c3cccc(c3)C(F)(F)F,Fluridone
-6.2,Nc3cc2c1ccccc1ccc2c4ccccc34 ,6-aminochrysene
-3.955,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1=O,Estrone
-4.706,CCN2c1ccccc1N(C)C(=S)c3cccnc23 ,RTI 17
-0.59,CC1CO1,"1,2-Propylene oxide"
-3.796,O=C3CN=C(c1ccccc1)c2cc(ccc2N3)N(=O)=O,Nitrazepam
-1.46,CCNC(=S)NCC,"1,3-diethylthiourea"
-2.67,Oc1cc(Cl)cc(Cl)c1Cl,"2,3,5-Trichlorophenol"
-1.34,CCCCC(=O)OC,Propyl propanoate
-0.41,Nc1ccccc1,Aniline 
-4.6789999999999985,Cc1cccc2c(C)cccc12,"1,5-Dimethlnapthalene"
-2.63,NS(=O)(=O)c2cc1c(NCNS1(=O)=O)cc2Cl ,hydrochlorothiazide
-3.96,C1=Cc2cccc3cccc1c23,Acenapthylene
-1.28,CCCCCOC(=O)CC,Ethyl butyrate
-2.084,CCNc1nc(NC(C)C)nc(OC)n1,Atratone
-8.699,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,Benzo(a)pyrene
-1.09,CCBr,Bromoethane
-1.99,CCC#CCC,3-Hexyne
-5.292999999999998,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CCC5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C ,Digitoxin
-2.73,CCC(=C)C,2-Methyl-1-Butene
-2.42,Oc1cccc2cccnc12 ,8-quinolinol
-4.37,C1CCc2ccccc2C1,"1,2,3,4-Tetrahydronapthalene"
-2.9,Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4 ,phenolphthalein
-5.6,Brc1cc(Br)cc(Br)c1,"1,3,5-Tribromobenzene"
-5.72,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,Ronnel
-2.436,Cc1cc(=O)[nH]c(=S)[nH]1,methylthiouracil
-1.56,COc1cc(CC=C)ccc1O,Eugenol
-1.7080000000000002,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,5-Allyl-5-isopropylbarbital
-6.176,c1cc2ccc3cccc4ccc(c1)c2c34,Pyrene
-0.43,CCOC(C)OCC,"1,1-Diethoxyethane "
-2.338,CC1(C)CON(Cc2ccccc2Cl)C1=O,Clomazone
-0.42,CCCCOCCO,2-Butoxyethanol
-5.82,Clc1c(Cl)c(Cl)c(N(=O)=O)c(Cl)c1Cl,Quintozene
-4.402,CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O,Androsterone
-4.047,FC(F)(F)c1cccc(c1)N2CC(CCl)C(Cl)C2=O,Flurochloridone
-1.3,c1ccc2ncccc2c1,Quinoline
-1.24,COC(=O)c1cc(O)c(O)c(O)c1 ,methyl gallate
-1.8,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F ,fluconazole
-2.8310000000000004,Clc2ccc1oc(=O)[nH]c1c2,Chlorzoxazone
-7.92,Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,"2,2',3,4,4',5',6-PCB"
-1.25,O=C1NC(=O)C(=O)C(=O)N1 ,alloxan
-1.62,ClCCCCl,"1,3-Dichloropropane"
-2.67,Fc1cccc(Br)c1,m-Fluorobromobenzene
-3.63,Clc1ccc(Br)cc1,p-Chlorobromobenzene
-3.65,CC(C)C(C)C,"2,3-Dimethylbutane"
-1.94,CCC=C,1-Butene
-7.68,Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,"2,2',3,4,5,5'-PCB"
-1.155,Nc1cc[nH]c(=O)n1 ,cytosine
-3.04,FC(F)(Cl)C(F)(Cl)Cl,"1,1,2-Trichlorotrifluoroethane"
0.28,CCC#N,Propionitrile
-6.51,ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl ,"O,P'-DDD"
-1.96,COc1ccccc1N(=O)=O,o-Nitroanisole
-4.12,CC34CCC1C(CC=C2CC(O)CCC12C)C3CCC4=O,Prasterone
-4.8,CC12CC2(C)C(=O)N(C1=O)c3cc(Cl)cc(Cl)c3,Procymidone
-9.018,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,Benzo[ghi]perylene
-3.38,CCC(C)c1cc(cc(N(=O)=O)c1O)N(=O)=O ,Dinoseb
-1.899,c1c(OC)c(OC)C2C(=O)OCC2c1,meconin
1.12,OCC(O)CO,Glycerol
-1.96,COc1ccccc1O ,Guaiacol
-5.67,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl ,chlorpyrifos
-5.89,Cc1c2ccccc2cc3ccccc13,9-Methylanthracene
0.715,Cc1cc(=O)n(c2ccccc2)n1C,Antipyrene
-0.99,CCCCOC,Methyl butyl ether 
-0.8540000000000001,Cc2cnc1cncnc1n2,7-methylpteridine
-4.55,CCNc1nc(Cl)nc(NCC)n1 ,simazine
1.11,CN(C)C(=O)C,"N,N-Dimethylacetamide"
-2.676,CSc1nc(nc(n1)N(C)C)N(C)C,Simetryn
-0.4,C=C,Ethylene
-0.5,CC(C)(C)CCO,"3,3-Dimethyl-1-butanol"
-1.614,O=C1NC(=O)NC(=O)C1(CC)CC=C,5-Allyl-5-ethylbarbital
-2.67,Oc1ccc(Cl)c(Cl)c1Cl,"2,3,4-Trichlorophenol"
-1.85,COc1ccccc1,Anisole
-4.53,c1ccc(Cl)cc1C(c2ccc(Cl)cc2)(O)C(=O)OC(C)C,chloropropylate
-3.85,CC13CCC(=O)C=C1CCC4C2CCC(C(=O)CO)C2(CC(O)C34)C=O ,aldosterone
-4.16,COc2ccc(Oc1ccc(NC(=O)N(C)C)cc1)cc2,Difenoxuron
-3.11,CCc1ccc(C)cc1,4-Ethyltoluene
-2.24,CC(C)SC(C)C,Diisopropylsulfide
-2.29,O=N(=O)c1cccc(c1)N(=O)=O,"1,3-Dinitrobenzene"
-5.54,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,Ethion
-2.21,CCC1(C(C)C)C(=O)NC(=O)NC1=O ,probarbital
-4.21,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C ,cortisone acetate
-1.22,Cc1ncc(N(=O)=O)n1CCO,Metronidazole
-1.66,Nc1ccc(Cl)cc1,p-Chloroaniline
-1.52,CCCC(C)(C)CO,"2,2-Dimethylpentanol"
-0.82,c1ccoc1,Furane
-2.928,COCCCNc1nc(NC(C)C)nc(SC)n1,Methoproptryne
-3.1710000000000003,CN(C)C(=O)NC1CC2CC1C3CCCC23,Norea
-3.66,CC(C)(C)c1ccccc1,t-Butylbenzene 
-3.27,CC(=O)CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,kebuzone
-4.37,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C ,prednisolone acetate
-0.39,CCCOC,Methyl propyl ether 
-0.55,CC(C)OC(=O)C,Isopropyl acetate
-2.55,Brc1ccccc1,Bromobenzene
-2.35,CCOC(=O)c1ccc(O)cc1,Ethyl-p-hydroxybenzoate 
-5.0710000000000015,O=C1N(COC(=O)CCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,3-Butanoyloxymethylphenytoin
-5.37,CCC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,testosterone propionate
-9.332,c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,Coronene
-2.266,O=c1[nH]cnc2[nH]ncc12 ,allopurinol
-1.75,ClC=C,Chloroethylene
-2.98,CN(C)C(=O)C(c1ccccc1)c2ccccc2 ,diphenamid
-3.14,BrC(Br)(Br)Br,Tetrabromomethane
-4.871,CCN2c1cc(N(C)C)cc(C)c1NC(=O)c3cccnc23 ,RTI 22
-2.61,O=C1NC(=O)c2ccccc12 ,phthalimide
-4.38,OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl,Fenarimol
-1.85,COC(=O)c1ccccc1,Methyl benzoate 
-0.807,Cn1ccc(=O)[nH]c1=O,1-methyluracil
